Time,Variable,Value
10:39:01 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:01 AM,GPS Location,"43.07316248733515,-89.40121644651187"
10:39:01 AM,Vehicle State 1 (Drive Position),Drive
10:39:01 AM,Vehicle State 2 (Error Code),None
10:39:01 AM,Vehicle State 3 (Key State/Position),RUN
10:39:01 AM,Vehicle State 4 (Speed),30.18980845351885
10:39:01 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:01 AM,Vehicle State 6 (Drive Mode),Eco
10:39:01 AM,Accessory A Type,Front Winch
10:39:01 AM,Accessory A State,Retracted
10:39:01 AM,Accessory A Power,0
10:39:01 AM,Accessory B Type,Audio System
10:39:01 AM,Accessory B Volume,90.56942536055655
10:39:01 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:01 AM,GPS Location,"43.07315902400912,-89.40121867652014"
10:39:01 AM,Vehicle State 1 (Drive Position),Drive
10:39:01 AM,Vehicle State 2 (Error Code),None
10:39:01 AM,Vehicle State 3 (Key State/Position),RUN
10:39:01 AM,Vehicle State 4 (Speed),24.420660001603526
10:39:01 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:01 AM,Vehicle State 6 (Drive Mode),Sport
10:39:01 AM,Accessory A Type,Front Winch
10:39:01 AM,Accessory A State,Retracted
10:39:01 AM,Accessory A Power,0
10:39:01 AM,Accessory B Type,Audio System
10:39:01 AM,Accessory B Volume,73.26198000481058
10:39:01 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:01 AM,GPS Location,"43.07317915796609,-89.40119141349138"
10:39:01 AM,Vehicle State 1 (Drive Position),Drive
10:39:01 AM,Vehicle State 2 (Error Code),None
10:39:01 AM,Vehicle State 3 (Key State/Position),RUN
10:39:01 AM,Vehicle State 4 (Speed),20.820727317421756
10:39:01 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:01 AM,Vehicle State 6 (Drive Mode),Sport
10:39:01 AM,Accessory A Type,Front Winch
10:39:01 AM,Accessory A State,Retracted
10:39:01 AM,Accessory A Power,0
10:39:01 AM,Accessory B Type,Audio System
10:39:01 AM,Accessory B Volume,62.46218195226527
10:39:01 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:01 AM,GPS Location,"43.07319096180331,-89.40118204713913"
10:39:01 AM,Vehicle State 1 (Drive Position),Drive
10:39:01 AM,Vehicle State 2 (Error Code),None
10:39:01 AM,Vehicle State 3 (Key State/Position),RUN
10:39:01 AM,Vehicle State 4 (Speed),6.229254746199054
10:39:01 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:01 AM,Vehicle State 6 (Drive Mode),Normal
10:39:01 AM,Accessory A Type,Front Winch
10:39:01 AM,Accessory A State,Retracted
10:39:01 AM,Accessory A Power,0
10:39:01 AM,Accessory B Type,Audio System
10:39:01 AM,Accessory B Volume,18.68776423859716
10:39:01 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:01 AM,GPS Location,"43.073267605286155,-89.40115786263242"
10:39:01 AM,Vehicle State 1 (Drive Position),Drive
10:39:01 AM,Vehicle State 2 (Error Code),None
10:39:01 AM,Vehicle State 3 (Key State/Position),RUN
10:39:01 AM,Vehicle State 4 (Speed),30.083221556159778
10:39:01 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:01 AM,Vehicle State 6 (Drive Mode),Sport
10:39:01 AM,Accessory A Type,Front Winch
10:39:01 AM,Accessory A State,Retracted
10:39:01 AM,Accessory A Power,0
10:39:01 AM,Accessory B Type,Audio System
10:39:01 AM,Accessory B Volume,90.24966466847934
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.073278607920926,-89.40112510194697"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),13.031378154734972
10:39:02 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Eco
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,39.09413446420491
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.07326066387703,-89.40112748436708"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),13.149935731051778
10:39:02 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Eco
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,39.44980719315534
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.073299282673304,-89.40107010866706"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),22.25863515406267
10:39:02 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Normal
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,66.77590546
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.07325756266789,-89.40110542427327"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),17.276753315694833
10:39:02 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Sport
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,51.83025995
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.073282768536885,-89.40106534250643"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),21.39549237817467
10:39:02 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Normal
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,64.18647713452401
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.07331230827833,-89.4010086904031"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),21.445950407186444
10:39:02 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Sport
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,64.33785122155933
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.07336357354587,-89.40095314504698"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),24.543207886884144
10:39:02 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Sport
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,73.62962366065243
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.07337259895267,-89.40098262047778"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),10.955226652878281
10:39:02 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Normal
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,32.86567995863484
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.07339302541009,-89.40094545287542"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),17.091080587858837
10:39:02 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Sport
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,51.27324176357651
10:39:02 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:02 AM,GPS Location,"43.073332983783274,-89.40093310344412"
10:39:02 AM,Vehicle State 1 (Drive Position),Drive
10:39:02 AM,Vehicle State 2 (Error Code),None
10:39:02 AM,Vehicle State 3 (Key State/Position),RUN
10:39:02 AM,Vehicle State 4 (Speed),27.45234739535576
10:39:02 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:02 AM,Vehicle State 6 (Drive Mode),Normal
10:39:02 AM,Accessory A Type,Front Winch
10:39:02 AM,Accessory A State,Retracted
10:39:02 AM,Accessory A Power,0
10:39:02 AM,Accessory B Type,Audio System
10:39:02 AM,Accessory B Volume,82.35704218606728
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.07337475527804,-89.40091909943133"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),25.419880460239163
10:39:03 AM,Vehicle State 5 (2WD/4WD),4WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Sport
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,76.25964138071748
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.07335806496658,-89.40091685705443"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),8.260722426199615
10:39:03 AM,Vehicle State 5 (2WD/4WD),2WD
10:39:03 AM,Vehicle State 6 (Drive Mode),Normal
10:39:03 AM,Accessory A Type,Front Winch
10:39:03 AM,Accessory A State,Retracted
10:39:03 AM,Accessory A Power,0
10:39:03 AM,Accessory B Type,Audio System
10:39:03 AM,Accessory B Volume,24.78216727859885
10:39:03 AM,Vehicle VIN,1HGBH41JXMN109186
10:39:03 AM,GPS Location,"43.073343694191294,-89.4009352274204"
10:39:03 AM,Vehicle State 1 (Drive Position),Drive
10:39:03 AM,Vehicle State 2 (Error Code),None
10:39:03 AM,Vehicle State 3 (Key State/Position),RUN
10:39:03 AM,Vehicle State 4 (Speed),13.584339776274428
10:39:03 AM,Vehicle State 5 (2WD/4WD),2WD
