Time,Variable,Value,,,,,
12:10:23 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:23 PM,GPS Location,"43.07309580147145,-89.40118967150535",,,,,
12:10:23 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:23 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:23 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:23 PM,Vehicle State 4 (Speed),5.336034235,,,,,
12:10:23 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:23 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:23 PM,Accessory A Type,Front Plow,,,,,
12:10:23 PM,Accessory A State,UP,,,,,
12:10:23 PM,Accessory B Type,Rear Spreader,,,,,
12:10:23 PM,Accessory B State,Medium,,,,,
12:10:23 PM,Accessory B Fill Level,99.88888889,,,,,
12:10:23 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:23 PM,GPS Location,"43.073055449407846,-89.40113001624103",,,,,
12:10:23 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:23 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:23 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:23 PM,Vehicle State 4 (Speed),26.69678726,,,,,
12:10:23 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:23 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:23 PM,Accessory A Type,Front Plow,,,,,
12:10:23 PM,Accessory A State,UP,,,,,
12:10:23 PM,Accessory B Type,Rear Spreader,,,,,
12:10:23 PM,Accessory B State,Medium,,,,,
12:10:23 PM,Accessory B Fill Level,99.77777778,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.07306345300973,-89.40112666317353",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),8.530804298,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,99.66666667,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.073131992952554,-89.40120187219642",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),33.52203462,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,99.55555556,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.073130638232236,-89.40120090322071",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),1.520470847,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,99.44444444,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.07313194721382,-89.4012020849649",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),0.650018334,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,99.33333333,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.073135506676195,-89.40117577453623",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),9.855780295,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,99.22222222,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.07318565317434,-89.40119158698357",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),28.62041813,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,99.11111111,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.07320134863758,-89.40118032396498",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),26.9610463,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,99,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.07325005104772,-89.401208102214",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),19.55565694,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,98.88888889,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.073252433606946,-89.40120744078136",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),0.949217957,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,98.77777778,,,,,
12:10:24 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:24 PM,GPS Location,"43.07325758650242,-89.40122304084075",,,,,
12:10:24 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:24 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:24 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:24 PM,Vehicle State 4 (Speed),6.407650387,,,,,
12:10:24 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:24 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:24 PM,Accessory A Type,Front Plow,,,,,
12:10:24 PM,Accessory A State,UP,,,,,
12:10:24 PM,Accessory B Type,Rear Spreader,,,,,
12:10:24 PM,Accessory B State,Medium,,,,,
12:10:24 PM,Accessory B Fill Level,98.66666667,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.073272345171446,-89.40123558736298",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),21.8237798,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,98.55555556,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.07328915800751,-89.40127168377616",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),18.75839479,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,98.44444444,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.073310740989555,-89.40126038903529",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),9.857151083,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,98.33333333,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.07330079517631,-89.40127111937755",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),5.784912799,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,98.22222222,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.07330683656011,-89.40126754345701",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),2.261842027,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,98.11111111,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.073300510990286,-89.40126621528265",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),6.553479033,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,98,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.073311589422204,-89.4012578072108",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),5.484516945,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,97.88888889,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.07331001101031,-89.40125733245569",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),1.474712318,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,97.77777778,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.073318298387655,-89.40129072992288",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),14.36436309,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,97.66666667,,,,,
12:10:25 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:25 PM,GPS Location,"43.073283615013096,-89.40129844532244",,,,,
12:10:25 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:25 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:25 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:25 PM,Vehicle State 4 (Speed),17.80752351,,,,,
12:10:25 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:25 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:25 PM,Accessory A Type,Front Plow,,,,,
12:10:25 PM,Accessory A State,UP,,,,,
12:10:25 PM,Accessory B Type,Rear Spreader,,,,,
12:10:25 PM,Accessory B State,Medium,,,,,
12:10:25 PM,Accessory B Fill Level,97.55555556,,,,,
12:10:26 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:26 PM,GPS Location,"43.073316287351446,-89.40135189074083",,,,,
12:10:26 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:26 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:26 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:26 PM,Vehicle State 4 (Speed),28.49255702,,,,,
12:10:26 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:26 PM,Vehicle State 6 (Drive Mode),Normal,,,,,
12:10:26 PM,Accessory A Type,Front Plow,,,,,
12:10:26 PM,Accessory A State,UP,,,,,
12:10:26 PM,Accessory B Type,Rear Spreader,,,,,
12:10:26 PM,Accessory B State,Medium,,,,,
12:10:26 PM,Accessory B Fill Level,97.44444444,,,,,
12:10:26 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:26 PM,GPS Location,"43.07337723246817,-89.40134012759174",,,,,
12:10:26 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:26 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:26 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:26 PM,Vehicle State 4 (Speed),22.17146326,,,,,
12:10:26 PM,Vehicle State 5 (2WD/4WD),2WD,,,,,
12:10:26 PM,Vehicle State 6 (Drive Mode),Eco,,,,,
12:10:26 PM,Accessory A Type,Front Plow,,,,,
12:10:26 PM,Accessory A State,UP,,,,,
12:10:26 PM,Accessory B Type,Rear Spreader,,,,,
12:10:26 PM,Accessory B State,Medium,,,,,
12:10:26 PM,Accessory B Fill Level,97.33333333,,,,,
12:10:26 PM,Vehicle VIN,1HGBH41JXMN109186,,,,,
12:10:26 PM,GPS Location,"43.07332859920425,-89.40137180411693",,,,,
12:10:26 PM,Vehicle State 1 (Drive Position),Drive,,,,,
12:10:26 PM,Vehicle State 2 (Error Code),None,,,,,
12:10:26 PM,Vehicle State 3 (Key State/Position),RUN,,,,,
12:10:26 PM,Vehicle State 4 (Speed),17.29403954,,,,,
12:10:26 PM,Vehicle State 5 (2WD/4WD),4WD,,,,,
12:10:26 PM,Vehicle State 6 (Drive Mode),Sport,,,,,
12:10:26 PM,Accessory A Type,Front Plow,,,,,
12:10:26 PM,Accessory A State,UP,,,,,
12:10:26 PM,Accessory B Type,Rear Spreader,,,,,
